City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,bhopal,23.2667,77.4,24.46,72,80,2.05,IN,1696013105
335,caleta de carquin,-11.0925,-77.6267,21.42,76,73,4.96,PE,1696013106
336,n'zeto,-7.2312,12.8666,23.81,86,17,4.29,AO,1696013106
337,ravar,31.2656,56.8055,21.0,22,0,2.47,IR,1696013107
338,kingston,17.997,-76.7936,31.53,76,20,6.69,JM,1696012573
339,kutum,14.2,24.6667,29.44,36,19,3.17,SD,1696013107
340,linton hall,38.7598,-77.575,21.41,81,100,4.63,US,1696013108
341,vladivostok,43.1056,131.8735,11.01,79,17,4.3,RU,1696013108
342,whangarei,-35.7317,174.3239,12.35,95,100,6.56,NZ,1696013108
343,muroto-misakicho,33.2833,134.15,25.54,78,94,2.39,JP,1696013109
344,kiunga,-6.1219,141.2906,22.06,99,100,1.76,PG,1696013109
345,kununurra,-15.7667,128.7333,19.99,77,100,0.0,AU,1696013109
346,darwha,20.3167,77.7667,23.92,95,100,2.38,IN,1696013110
347,la passe,45.5549,-0.8967,21.13,87,100,2.3,FR,1696013111
348,beidao,34.5686,105.8933,14.12,87,100,1.71,CN,1696013111
349,zaysan,47.4667,84.8667,13.21,48,98,1.77,KZ,1696013112
350,hajin,34.6927,40.827,29.27,25,0,3.68,SY,1696013112
351,gevgelija,41.1392,22.5025,21.7,42,9,1.89,MK,1696013113
352,ulsteinvik,62.3432,5.8487,15.42,76,100,3.58,NO,1696013054
353,campbellton,48.0075,-66.6727,19.25,47,100,1.97,CA,1696013113
354,isfana,39.8386,69.5306,16.31,61,56,2.8,KG,1696013114
355,takoradi,4.8845,-1.7554,25.68,89,5,3.66,GH,1696013114
356,brookings,44.3114,-96.7984,22.19,83,20,6.17,US,1696013114
357,piton saint-leu,-21.2196,55.3151,20.06,73,0,2.06,RE,1696013115
358,alesund,62.4723,6.1549,15.42,75,75,3.09,NO,1696013115
359,nyurba,63.2842,118.3319,5.12,90,100,2.9,RU,1696013115
360,pedregal,8.3667,-82.4333,31.05,66,40,2.06,PA,1696013116
